organization,hand_coded_assignee_form
"Water & Power Technologies, Inc.",FIRM
Shell Austria Aktiengesellschaft,FIRM
"Weeks Wholsale Rose Grower, Inc.",FIRM
Energy Maintenance Service / LLC,FIRM
"Cheng Feng Blinds Ind. Co., Ltd.",FIRM
"SUMMERHILL BIOMASS SYSTEMS, INC.",FIRM
"American Video Electronics, Inc.",FIRM
Cocos Island Okinawa Corporation,FIRM
Compagnie Generale de Radiologie,FIRM
Advanced Biotechnologies Limited,FIRM
Apex Engraving & Lithography LLC,FIRM
"Micro Apps Group Inventions, LLC",FIRM
"LEYARD OPTOELECTRONICS CO., LTD.",FIRM
Rockbestos Suprenant Cable Corp.,FIRM
The Invention Science Fund I LLC,FIRM
"St. Louis Conveyor Company, Inc.",FIRM
Cussons (International) Limited ,FIRM
Spiral Recherche et Developpment,FIRM
KABUSHIKI KAISHA MIHON MICRONICS,FIRM
"Multiple InterOcular 3-D, L.L.C.",FIRM
"Tao Health Life Pharma Co., Ltd.",FIRM
Tetronics (International) Limited,FIRM
"Inspar Robotic Technologies, Inc.",FIRM
"BAE Systems Tensylon H.P.M., Inc.",FIRM
"Shenzhen Sacred Industry Co., Ltd",FIRM
"Silver Bullett Therapeutics, Inc.",FIRM
"TRANSPARENT WIRELESS SYSTEMS, LLC",FIRM
Donovan International Corporation,FIRM
The Dewey Electronics Corporation,FIRM
ISOLATION EQUIPMENT SERIVCES INC.,FIRM
Mamore Mineracao E Metalurgia S/A,FIRM
"Fuji Polymer Industries Co., Ltd.",FIRM
"Rauch & Romanshek Industries, LLC",FIRM
"Regenerx Biopharmaceuticals, Inc.",FIRM
H. R. Turner (Willenhall) Limited,FIRM
"Eko Instruments Trading Co., Ltd.",FIRM
ZHEJIANG SHENGDA MACHINERY CO.LTD,FIRM
Nippon Control System Corporation,FIRM
"Beijing Pico Technology Co., Ltd.",FIRM
"Mightiest Logicon Unisearch, Inc.",FIRM
"Shenzhen Nozo Investment Co., Ltd",FIRM
Fujifilm Electronics Imaging Ltd.,FIRM
"NANJING LUOPU TECHNOLOGY CO., LTD",FIRM
Philips Semiconductors Dresden AG,FIRM
MELLANOX TECHNOLOGIES DENMARK APS,FIRM
"Archimedes Technology Group, Inc.",FIRM
Vontech International Corporation,FIRM
"Hanna Chemical Industry Co., Ltd.",FIRM
Coster Tecnologie Speciali S.p.A.,FIRM
"Molecular Biology Resources, Inc.",FIRM
National Industrialization Company,FIRM
Japan Styrene Corporation of Japan,FIRM
Schlumberger Technical Corporation,FIRM
"Berkeley Varitronics Systems, Inc.",FIRM
"Haws Company, A Nevada Corporation",FIRM
"Innovating Training Products, Inc.",FIRM
Safe Flight Instrument Corporation,FIRM
"American Dental Technologies, Inc.",FIRM
National Seimconductor Corporation,FIRM
Cancer Research Technology Limited,FIRM
"International Fabric Molders, Inc.",FIRM
"Alert Safety Lite Products 6, Inc.",FIRM
Daimler-Benz Aerospace Airbus GmbH,FIRM
"SHANGHAI MOONS' ELECTRIC CO., LTD.",FIRM
Commercial Enclosed Fuse Co. of NJ,FIRM
"UNI Electronics Industry Co., Ltd.",FIRM
ERI Forschungs-Und Entwicklungs-AG,FIRM
"Advanced Tehnology Materials, Inc.",FIRM
"Leader Sport Products Canada, Inc.",FIRM
"Premier Manufactured Systems, Inc.",FIRM
Bi-Callnic Telecommunication Corp.,FIRM
Ruhr-Stickstoff Aktiengesellschaft,FIRM
"Cherokee Nation Entertainment, LLC",FIRM
Odenwald Faserplattenwerk G.m.b.H.,FIRM
Digital Pictures International ApS,FIRM
Carlos Mainero y Cia. S.A.I.C.F.I.,FIRM
Intreprinderea de Antibiotice Iasi,FIRM
Transocean Petroleum Technology AS,FIRM
"Showa Denko Gas Products Co., Ltd.",FIRM
National Semicondustor Corporation,FIRM
"Corea Puff Manufacturing Co., Ltd.",FIRM
"The Ipe Clip Fastener Company, LLC",FIRM
North American Medical Corporation,FIRM
"TIANMO MICRO-ELECTRONICS CO., LTD.",FIRM
FUJIFILM North America Corporation,FIRM
Vermeulen-Hollandia Octrooien B.V.,FIRM
"Goldlok Toys Manufactory Co., Ltd.",FIRM
"Eclipse Surgical Technologies, Inc.",FIRM
Stocker Hinge Manufacturing Company,FIRM
President Electronic Canada Limited,FIRM
"GUANGDONG POWERLINK ENERGY CO., LTD",FIRM
"SCHNEIDER ENTERPRISE RESOURCES, LLC",FIRM
GM Global Technology Operations LLC,FIRM
GM Global Technology Operations LLC,FIRM
GM Global Technology Operations LLC,FIRM
Nautic Marine Security Systems Inc.,FIRM
Gulf Oil Corporation (Pennsylvania),FIRM
Ocean Construction Supplied Limited,FIRM
Owens-Brockway Glass Container Inc.,FIRM
ROLEC Prozess- und Brautechnik GmbH,FIRM
IDROPALM s.a.s. di Gattuso C. & Co.,FIRM
New Zealand Wire Industries Limited,FIRM
"Corn States Metal Fabricators, Inc.",FIRM
Toyo Shokuhinkikai Kabushiki Kaisha,FIRM
GM Global Technology Operations LLC,FIRM
Kabushikikaisha Matumotoya Shokuhin,FIRM
"Ishihara Techno Co., Ltd. of Nagano",FIRM
Innovatech Products & Equipment Co.,FIRM
The Harrison Steel Castings Company,FIRM
"Lakeland Rubber Stamp Company, Inc.",FIRM
A. Ahlstrom / A Finnish Corporation,FIRM
Alcatel Thomason Faisceaux Hertizen,FIRM
GM Global Technology Operations LLC,FIRM
Les Fils d'Auguste Scheuchzer S. A.,FIRM
"Counterpane Internet Security, Inc.",FIRM
Grand Rainbow International Limited,FIRM
ulti med Products (Deutschland) GmbH,FIRM
"Zhuhai Makerwit Technology Co., Ltd.",FIRM
Mitaka Filter Kogyo Kabushiki Kaisha,FIRM
Societe Fermiere des Colonnes Morris,FIRM
"Tessera Interconnect Materials, Inc.",FIRM
Evans Capacitor Company Incorporated,FIRM
Toroids International Hong Kong Ltd ,FIRM
DanDre Technology Innovation Limited,FIRM
"Environmental Cleaning Systems, Inc.",FIRM
Access Wellness And Physical Therapy,FIRM
"Konika Minolta Advanced Layers, Inc.",FIRM
Allegheny International Exercise Co.,FIRM
Nederlandse Naaldenfabriek Muva B.V.,FIRM
"Clearview Composite Wall System, LLC",FIRM
"Brandt Innovative Technologies, Inc.",FIRM
Circuit Foil Luxembourg Trading Sarl,FIRM
"Tawain Fu Hsing Industrial Co., Ltd.",FIRM
"Fijitsu Network Communications, Inc.",FIRM
Mineral Separation Technologies Inc.,FIRM
RENZO PIANO BUILDING WORKSHOP S.R.L.,FIRM
Etudes et Fabrications Aeronautiques,FIRM
PLUSS ADVANCED TECHNOLOGIES PVT. LTD.,FIRM
"Environmental Quality Resources, Inc.",FIRM
"DONGGUAN DIERCON TECHNOLOGY CO., LTD.",FIRM
ISRAEL WEAPON INDUSTRIES (I.W.I) LTD.,FIRM
"Intelligent Fiber Optic Systems, Inc.",FIRM
Kabushiki Kaisha Dunlop Home Products,FIRM
"DOW A ELECTRONICS MATERIALS CO., LTD.",FIRM
Innovative & Superior Technology Inc.,FIRM
"Inventive Concepts International, LLC",FIRM
A.G. fur industrielle Elektronic AGIE,FIRM
"Aironet Wireless Communications, Inc.",FIRM
SITA Maschinenbau-und Forschungs GmbH,FIRM
"Sanwa Electronic Instrument Co., Ltd.",FIRM
DKFZ DEUTCHERS KREBSFORSCHUNGSZENTRUM,FIRM
Nippon Carside Kogyo Kabushiki Kaisha,FIRM
"Beijing Rockrobo Technology Co., Ltd.",FIRM
"Sortex Company of North America, Inc.",FIRM
"Stenten's Golf Cart Accessories, Inc.",FIRM
China Petro-Chemical Corp. and others,FIRM
Kwoon Kwen Metal Ware Company Limited,FIRM
"Deson Trading (Shenzhen) Co., Limited",FIRM
National Metal Specialist Corporation,FIRM
Great Lakes Pressed Steel Corporation,FIRM
"Hyperbaric Mountain Technologies, Inc.",FIRM
"Springs Window Fashions Division, Inc.",FIRM
Zaklady Urzadzen Chemicznych Metalchem,FIRM
Coastal Waters Biotechnology Group LLC,FIRM
"Nittetsu Chemical Industrial Co., Ltd.",FIRM
Agilent Technologies Singapore PTE LTD,FIRM
Prysmian Cavi E Sistemi Energia S.R.L.,FIRM
Privat-Molkerei Borgmann GmbH & Co. KG,FIRM
Vysoka skola dopravy a spojov v Ziline,FIRM
Deutschen Semperit Gesellschaft m.b.H.,FIRM
"Cholesterol Control Laboratories, Inc.",FIRM
"California Injection Molding Co., Inc.",FIRM
"Light Speed Vision (Beijing) Co., Ltd.",FIRM
Wiesmoor-Gartnerie und Baumschule GmbH,FIRM
Maja-Maschinenfabrik Herman Schill GmbH,FIRM
"Shape Matrix Geometric Instruments, LLC",FIRM
"Nihon Medical Engineering Company, Ltd.",FIRM
Huntsman Textile Effects (Germany) GmbH,FIRM
"Fujian Kechuang Photoelectric Co., Ltd.",FIRM
Burton Energy and Solar Technology Inc.,FIRM
Westinghouse FANAL-Schaltger/a/ te GmbH,FIRM
"Molecular Insight Pharmaceuticals, Inc.",FIRM
Noord-Nederlandsche Machinefabriek B.V.,FIRM
Fogazzi Di Ventureli Andrea & C. S.n.c.,FIRM
"Yantai Metastar Special Paper Co., Ltd.",FIRM
The Pittsburgh & Midway Coal Mining Co.,FIRM
Maerz-Gautschi Industrieofenanlagen GmbH,FIRM
Distribution Systems & Computers Limited,FIRM
SPM Semiconductor Products Manufacturing,FIRM
"Mitsuboshi Diamond Industrial Col., Ltd.",FIRM
BENTELER DISTRIBUTION INTERNATIONAL GMBH,FIRM
"Dongguan Bangfei Baby Products Co., Ltd.",FIRM
"Kiu Hung International Enterprises, Ltd.",FIRM
BMD Badische Maschinenfabrik Durlach GmbH,FIRM
Wilhelm Hendrich Vakuumanlagen GmbH & Co.,FIRM
"SEA TRADE ELECTRONICS (SHENZHEN) CO., LTD",FIRM
"Edgecombe Enterprises International, Inc.",FIRM
Lexin International Marketing Corporation,FIRM
"Digital Differential Safety Systems, Inc.",FIRM
MAT Adsorption Technologies GmbH & Co. KG,FIRM
Lafarge Roofing Technical Centers Limited,FIRM
International Mobile Machines Corporation,FIRM
Gat Gesellschaeft fur Antriebstechnik mbH,FIRM
C.M.S.S.p.A. Costruzione Macchine Speciali,FIRM
Societa' Industriale Bagnolo S.I.B. S.r.l.,FIRM
Etudes Techniques et Realisations (E.T.R.),FIRM
Shanghai BASF Polyurethane Company Limited,FIRM
"Zenith Stairways & Building Products, Inc.",FIRM
"Fresh Water (Beijing) Technology Co., Ltd.",FIRM
The Artistic Hair Products Company Limited,FIRM
IMC Industriellt Mikroelektronikcentrum AB,FIRM
"Kidde, Inc. (Presto Lock Company Division)",FIRM
"Watanabe Pharmaceutical Industry Co., Ltd.",FIRM
Hugo Sachs Elektronik Kommanditgesellschaft,FIRM
"HARBIN QIULIN BEVERAGE TECHNOLOGY CO., LTD.",FIRM
International Bsuiness Machines Corporation,FIRM
Officine Meccaniche Veronesi (O.M.V.)S.p.A.,FIRM
Panasonic Ecology Systems Guandong Co. Ltd.,FIRM
"S.P. Industries, Inc., The Virtis Division ",FIRM
"Arab Pharmaceutical Manufacturing Co., Ltd.",FIRM
"Hubei Shengjia Electric Apparatus Co., Ltd.",FIRM
"Guangdong Haiou Medical Apparatus Co., Ltd.",FIRM
"PeronGen BioTherapeutics (Suzhou) Co., Ltd.",FIRM
Furukawa Electric Technologies Intezet Kft.,FIRM
Societe Nationale Elf Aquitanie (produciton),FIRM
Koninklijke Nederlandse Papierfabrieken N.V.,FIRM
"Guangdong Haixing Plastic & Rubber Co., Ltd.",FIRM
NELA rasvojni center d.o.o. Podruznica OTOKI,FIRM
"Otto Egelhof GmbH & Co. KG, Regelungstechnik",FIRM
Dujardin-Montbard-Somenor Z. I. Lille Seclin,FIRM
"Cincinnati Printing and Drying Systems, Inc.",FIRM
Micromechanic and Automation Technology Ltd.,FIRM
Sentinel Innovative Technologies Incorporated,FIRM
"Novabus, Division De Groupe Volvo Canada Inc.",FIRM
Kabushiki Kaisha Kawasaki Precision Machinery,FIRM
"ZHONGSHAN NIKOW PRECISION INDUSTRIAL CO., LTD",FIRM
"Maelstrom Advanced Process Technologies, Ltd.",FIRM
Dornier Gesellschaft mit besehrankter Haftung,FIRM
MULTI-TEK FASTENERS & PARTS MANUFACTURER CORP.,FIRM
"Harvard International Industries, Incorporated",FIRM
Komet Praezisionwerkzeuge Robert Breuning GmbH,FIRM
Distributed Processing Technology Corporation ,FIRM
Shenzhen Hazardous Waste Treatment Station Ltd.,FIRM
Deutschen Babcock Energie- und Umwelttechnik AG,FIRM
Richard Berger Verbindungstechnik GmbH & Co. KG,FIRM
"MITSUBISHI HITACHI POWER SYSTEMS AMERICAS, INC.",FIRM
"ZHENGZHOU SANHUA TECHNOLOGY & INDUSTRY CO., LTD",FIRM
Heinrich Berndes Haushaltstechnik GmbH & Co. KG,FIRM
BTR Blumberger Telefon-und Relaisbau Albert Metz,FIRM
Schwabische Huttenwerke Automotive GmbH & Co. KG,FIRM
"Heary Brothers Lighting Production Company, Inc.",FIRM
Ed. Geistlich Soehne AG fuer Chemistrie Industrie,FIRM
Italtel Societa Italiana Telecomunicazione S.p.A.,FIRM
"Industrial Farmaceutica y de Especialidades, S.A.",FIRM
Biometic ApS c/o Dansk Udviklingsfinansiering A/S,FIRM
Societe Europeenne d'Ingenierie Mecanique-Eurodim,FIRM
CdF Chimie S.A. Societe Chimique des Charbonnages,FIRM
Abel GmbH & Co. Handels-und Verwaltungsgesllschaft,FIRM
"Electronic Missiles & Communications, Inc. (EMCEE)",FIRM
"GUANGZHOU LUMYCO ELECTRONIC & TECHNOLOGY CO., LTD.",FIRM
Akademia Gorniczo-Hutnicza Im. Stanislawa Staszica,FIRM
NUTRO Patentverwertungs- und Maschinenhandels-GmbH,FIRM
"FLM GmbH Foto-, Licht- und Messtechnisches Zubehoer",FIRM
"National Fiber Glass Products, Div. of G.K.L. Corp.",FIRM
"SHIJIAZHUANG SUCCESS MACHINERY ELECTRICAL CO., LTD.",FIRM
ZIBO SHENGTAI COMPOSITE MATERIAL TECHNOLOGY CO. LTD.,FIRM
P. J. Zweegers end Zonen Landbouwmachinefabriek B.V.,FIRM
The South African Nuclear Energy Corporation Limited,FIRM
E-Mak Makine Insaat Ticaret Ve Sanayi Anonim Sirketi,FIRM
"Seiko Epson Corporation and Sammy Networks Co., Ltd.",FIRM
Alcatel Transmission Par Faisceaux Hertziens A.T.F.H.,FIRM
Johann Froescheis Lyra-Bleistift-Fabrik GmbH & Co. KG,FIRM
"Mitsubishi Chemical Carbon Fiber and Composites, Inc.",FIRM
S.A.M.M.-Societe d'Applications des Machines Motrices,FIRM
EL.GE. Apparecchiature Elettroniche Industriali S.p.A.,FIRM
Idento-Gesellschaft fur Industrielle Kennzeichnung mbH,FIRM
G A O Gesellschaft fur Automation und Organisation mbH,FIRM
Green Island Environmental Technologies Company Limited,FIRM
Teknoloji Dizayn Studyo Produksiyon ve Reklamcilik A.S.,FIRM
"Paragon Aquatics, division of Pentair Pool Products, Inc.",FIRM
"BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO., LTD.",FIRM
"Dongguan Humen Nanzha World Wide Stationery Mfg. Co., Ltd.",FIRM
Dipl.-Ing. Ernst Kreiselmaier Wasser-und Metall-Chemie KG ,FIRM
"JIANGSU HUABEN HEALTH LIFE SCIENCE AND TECHNOLOGY CO., LTD.",FIRM
Elmeg-Elektro-Mechanik Gesellschaft mit beschrankter Haftung,FIRM
Biotronik Mess-und Therapiegeraete GmbH Ingeniurbuero Berlin,FIRM
Societe Industrielle et Commerciale de Materiael Aeronautique,FIRM
D.O.R.C. Dutch Ophthalmic Research Center (International) B.V.,FIRM
"Tsuchiya Machinery Co., Ltd. CNT JPX COD 13 ITX a part interest ",FIRM
Dalian Petro-Chemical Company of China Petro-Chemical Corporation,FIRM
"""""""""""""""B.V. Opische Industrie """"""""""""""""De Oude Delft""""""""""""""""""""""""""""""",FIRM
C.A.M.P.I. Centro Applicazione Moderni Prodotti Industriali S.r.l.,FIRM
"""""""""""""""Compagnie Francaise des Petroles """"""""""""""""TOTAL""""""""""""""""""""""""""""""",FIRM
"Ozite Company, A Div., of Plastic Specialties and Technologies, Inc.",FIRM
Laevosan-Gesellschaft mbH & Co. KG Chemisch-Pharmazeutische Industrie,FIRM
Societe d'Etude d'Exploition et d'Algues et Produits Maritimes Setexam,FIRM
Bias Forschungs-und Entwicklungs-Labor fur Angewandte Strahltechnik GmbH,FIRM
"CERCA, Compagnie pour l'Etude et la Realisation de Combustibles Atomiques",FIRM
"ZHANGJIAGANG XIANGCHENG MEDICAL MATERIAL SCIENCE AND TECHNOLOGY CO., LTD.",FIRM
"""""""""""""""Societe Francaise des Silicates Speciaux """"""""""""""""Sifrance""""""""""""""""""""""""""""""",FIRM
"Motoren-Werke Mannheim Aktiengesellschaft vorm, Benz Abt, stationarer Motorenbau",FIRM
Vereinigte Osterreichische Eisen- und Stahlwerke-Alpine Montan Aktiengesellschaft,FIRM
Commonwealth Scientific & Industrial Research Organisation & Telectronics Pty. Limited CNT AUX COD 03 ,FIRM
Societe d'Etudes de Chimie et de Therapie Appliques-Laboratoires de Cosmetologie Yves Rocher-S.E.C.T.A.,FIRM
City of Chandler,GOVERNMENT
"Federal Law Enforcement, Inc.",GOVERNMENT
National Maritime Research Institute,GOVERNMENT
Counsel of Scientific & Industrial Research,GOVERNMENT
Northern Bristol N.H.S. Trust Frenchay Hospital,GOVERNMENT
KOREA PETROLEUM QUALITY & DISTRIBUTION AUTHORITY,GOVERNMENT
Chinese Center for Disease Control and Prevention,GOVERNMENT
"Federal Law Enforcement Development Services, Inc.",GOVERNMENT
INSTITUTE NATIONAL D'OPTIQUE/NATIONAL OPTICS INSTITUTE,GOVERNMENT
Institute of Metal Research of The Chinese Academy of Sciences,GOVERNMENT
The United States of America as requested by the Secretary of the Air Force,GOVERNMENT
"National Institute for Communicable Disease Control and Provention, China CDC",GOVERNMENT
Agency of Industrial Science and Technology National Research Institute for Metals,GOVERNMENT
"Her Majesty the Queen in right of Canada, as represented by the Department of Fisheries and Oceans",GOVERNMENT
Deutsches Zentrum fuer Luft- un Raumfahrt e.V.,GOVERNMENT
"Centro de Investigaciones en Materiales Avanzados, S.C.",GOVERNMENT
VERTRETEN DURCH DAS BUNDESMINISTERIUM FUR WIRTSCHAFT UND TECHNOLOGIE,GOVERNMENT
Dae Hoon Kim,OTHER
James P. Kennedy,OTHER
Gilber B. Razran,OTHER
Friedrich Steinbach,OTHER
Show Chwan Memorial Hospital,NONPROFIT
"William T. Foley Foundation, Inc.",NONPROFIT
Cooperative Forestiere Laterriere,NONPROFIT
KOBE GAKUIN EDUCATIONAL FOUNDATION,NONPROFIT
Equal Access to Scientific Excellence,NONPROFIT
Mofet Etzion Agricultural Association Ltd.,NONPROFIT
The Shoe and Allied Trades Research Association,NONPROFIT
"Petroleum Energy Center, A Juridical Incorporated Foundation",NONPROFIT
"WORLD AWARD FOUNDATION INC, AB STABLE GROUP LLC, MOBILE PAY, INC",NONPROFIT
Central Laboratory of The Netherlands Red Cross Blood Tranfusion Service,NONPROFIT
Centro de Inventigaciones Cientificas (CNIC),NONPROFIT
Sociedad Limitado para el Desarrollo Cientificio Applicado,NONPROFIT
Rex Realty Co.,PROFESSIONAL
Cobb & Associates,PROFESSIONAL
BMR Solutions Ltd.,PROFESSIONAL
"P&M Services, Inc.",PROFESSIONAL
"Danta Design, Inc.",PROFESSIONAL
V.I.K.-Consult ApS,PROFESSIONAL
"Emmi Solutions, LLC",PROFESSIONAL
C. F. Spiess & Sohn,PROFESSIONAL
LFK ENGINEERING LLC,PROFESSIONAL
"ALLI SOLUTIONS, INC.",PROFESSIONAL
"Rite-Solutions, Inc.",PROFESSIONAL
"JVS Associates, Inc.",PROFESSIONAL
Olcon Engineering AB,PROFESSIONAL
"FCI Associates, Inc.",PROFESSIONAL
Handy Child Solutions,PROFESSIONAL
"iLumi Solutions, Inc.",PROFESSIONAL
"T.J. Associates, Inc.",PROFESSIONAL
"Zero Nine Design, LLC",PROFESSIONAL
Accenture Corporation,PROFESSIONAL
"Sapient Solutions, LLC",PROFESSIONAL
Surgical Solutions LLC,PROFESSIONAL
"Apex PC Solutions, Inc.",PROFESSIONAL
"Quantum Solutions, Inc.",PROFESSIONAL
Wave2Wave Solution Inc.,PROFESSIONAL
"Zephyr Associates, Inc.",PROFESSIONAL
"Argon Associates, L. P.",PROFESSIONAL
Gefro Oilfield Services ,PROFESSIONAL
udo.bodmer for solutionB,PROFESSIONAL
Sellsberg Engineering AB,PROFESSIONAL
"Packer Engineering, Inc.",PROFESSIONAL
"Dodge & Associates, Ltd.",PROFESSIONAL
"Smart & Associates, Inc.",PROFESSIONAL
"Navigant Consulting, Inc.",PROFESSIONAL
"Longwall-Associates, Inc.",PROFESSIONAL
"Twindicator Designs, Inc.",PROFESSIONAL
"Fertilizer Solutions, Inc.",PROFESSIONAL
Emerson Process Management,PROFESSIONAL
"James Rock Associates, LLC",PROFESSIONAL
"Brand Design Company, Inc.",PROFESSIONAL
Mouchel Consulting Limited,PROFESSIONAL
Newton Bridge Solutions Ltd,PROFESSIONAL
Kerberos Proximal Solutions,PROFESSIONAL
"Fernandez & Associates, LLP",PROFESSIONAL
"Tokai Engineering Co., Ltd.",PROFESSIONAL
"Design Loft Creations, Inc.",PROFESSIONAL
"Callahan & Associates, Inc.",PROFESSIONAL
"Stratosphere Solutions, Inc.",PROFESSIONAL
Planetary Design Corporation,PROFESSIONAL
"Dryden Engineering Co., Inc.",PROFESSIONAL
"Cadonca Design Systems, Inc.",PROFESSIONAL
Urban Design Idea Associates,PROFESSIONAL
"Act Medical Service Co., Ltd.",PROFESSIONAL
"MOBILE SYNERGY SOLUTIONS, LLC",PROFESSIONAL
"ISO Strategic Solutions, Inc.",PROFESSIONAL
Trimble Solutions Corporation,PROFESSIONAL
"Agro-Enviro Consultants, Inc.",PROFESSIONAL
"Hanshin Engineering Co., Ltd.",PROFESSIONAL
"Shinwoo Engineering Co., Ltd.",PROFESSIONAL
"ATOZ Design Labs Co., Limited",PROFESSIONAL
"Rotary Drilling Services, Inc.",PROFESSIONAL
"NBS Innovative Solutions, Ltd.",PROFESSIONAL
"Baggage Services Network, Inc.",PROFESSIONAL
"American Management Group, LLC",PROFESSIONAL
Eco Power Solutions (USA) Corp.,PROFESSIONAL
"Pronto Service Facilities, Inc.",PROFESSIONAL
"Aulick Chemical Solutions, Inc.",PROFESSIONAL
DCD Design & Manufacturing Ltd.,PROFESSIONAL
"Patient Education Services, Inc.",PROFESSIONAL
"Miller, Call, Plauck and Miller ",PROFESSIONAL
"Design Engineering Service, Inc.",PROFESSIONAL
Signal Engineering Company-South,PROFESSIONAL
"Schooner Petroleum Services, Inc.",PROFESSIONAL
"Ondeo Nalco Energy Services, L.P.",PROFESSIONAL
Surf Communication Solutions Ltd.,PROFESSIONAL
"Sinotai Oncology Associate., LTD.",PROFESSIONAL
"Fir Ride & Show Engineering, Inc. ",PROFESSIONAL
"L.I.D.P. Consulting Services, Inc.",PROFESSIONAL
Bulter Engineering & Marketing SRL,PROFESSIONAL
Global Integrated Solutions Limited,PROFESSIONAL
Enviroserv Waste Management Limited,PROFESSIONAL
Enterprise Content Management Group,PROFESSIONAL
"Nestor Engineering Associates, Inc.",PROFESSIONAL
"WRR Environmental Services Co., Inc.",PROFESSIONAL
"Industrial Polychemical Service, Inc.",PROFESSIONAL
Vault Access Solutions & Fabrications,PROFESSIONAL
"Fitterer Engineering Associates, Inc.",PROFESSIONAL
APS Alternative Printing Services GMBH,PROFESSIONAL
"Titan Chemical Transfer Solutions, LLC",PROFESSIONAL
"Hilliard-Lyons Patent Management, Inc.",PROFESSIONAL
Production Engineering Research Assoc.,PROFESSIONAL
Systemic Management Science Corporation,PROFESSIONAL
Thomas Hill Engineering Co. (Hull) Ltd.,PROFESSIONAL
"S.sup.3 Service Support Specialties, Inc. ",PROFESSIONAL
Van Doorn International Sports Management BV,PROFESSIONAL
United States Tennis Association Incorporated,PROFESSIONAL
"Technical Mechanical Resource Associates, Inc.",PROFESSIONAL
"Shenzhen BaTian Ecotypic Engineering Co., Ltd.",PROFESSIONAL
"ZHENGZHOU JINGCAN SECURITY ENGINEERING CO., LTD.",PROFESSIONAL
Integrated Electronic Systems !SYS Consulting GmbH,PROFESSIONAL
"Page Engineering Company (Sunbury-on-Thames), Ltd.",PROFESSIONAL
"Biosystem Solutions, Inc.",PROFESSIONAL
"Silverback Safety & Training Solutions, Inc.",PROFESSIONAL
Bangor University,UNIVERSITY
The Ohio University,UNIVERSITY
Tama Art University,UNIVERSITY
UNIVERSITAET ZUERICH,UNIVERSITY
King Fahd University,UNIVERSITY
Zhengzhou University,UNIVERSITY
Oregeon State University,UNIVERSITY
"Rose University Co., Ltd.",UNIVERSITY
Norsk Treteknisk Institutt,UNIVERSITY
Univ of Ga Rss. Foundation,UNIVERSITY
The University of Melbourne,UNIVERSITY
New York Chiropractic College,UNIVERSITY
Leland S. Stanford University,UNIVERSITY
Universite Louis Pasteur (ULP),UNIVERSITY
National University of Ireland,UNIVERSITY
Agri-Food Biosciences Institute,UNIVERSITY
Universite Nationale d'Asuncion,UNIVERSITY
SCRIPPS KOREA ANTIBODY INSTITUTE,UNIVERSITY
"Jadavpur University, West Bengal",UNIVERSITY
Califoria Institute of Technology,UNIVERSITY
UNIVERSIDAD AUTONOMA DE OCCIDENTE,UNIVERSITY
Universita' Degli Studi de Salerno,UNIVERSITY
Georgia Tech Reasearch Corporation,UNIVERSITY
INSTITUT POLYTECHNIQUE DE BORDEAUX 1,UNIVERSITY
Natural Institutes of Natural Sciences,UNIVERSITY
The University of Elecro-Communications,UNIVERSITY
"Board of Regents, University of Houston",UNIVERSITY
Israel Institute for Biological Research,UNIVERSITY
Takasago Institute for Interdisciplinary,UNIVERSITY
Centre Hospitalier Universitaire de Nice,UNIVERSITY
JIANGSU ACADEMY OF AGRICULTURAL SCIENCES,UNIVERSITY
Shahid Rajaee Teacher Training University,UNIVERSITY
China Univeristy of Petroleum (East China),UNIVERSITY
Whiteland Institute for Biomedical Research,UNIVERSITY
Korea Astronomy and Space Science Institute,UNIVERSITY
France and Universitat de les Illes Balears,UNIVERSITY
Korea Electrotechnology Research Institution,UNIVERSITY
University of Delhi Department of Biochemistry,UNIVERSITY
Universite des Sciences et Techniques (Lille I),UNIVERSITY
The President of Muroran Institute for Technology,UNIVERSITY
National University Corporation Sizuoka University,UNIVERSITY
Baotou Institute of Applied Design of New Materials,UNIVERSITY
NATIONAL TAIWAN UNIVERSITY HOSPITAL HSIN-CHU BRANCH,UNIVERSITY
Mt. Sinai School of Medicine of New York University,UNIVERSITY
Institut Enseigenment Superieur Et Recherche En Alme,UNIVERSITY
"UNIVERSTAR SCIENCE & TECHNOLOGY (SHENZHEN) CO., LTD.",UNIVERSITY
CHONGQING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS,UNIVERSITY
Korea Advanced of Institute of Science and Technology,UNIVERSITY
CENTRIFUGAL UNIVERSAL FILTRATION TECHNOLOGY (PTY) LTD,UNIVERSITY
Industry-Academia Coorperation Group of Sejong University,UNIVERSITY
Instituto Technologico y de Estudios Superiores de Monterrey,UNIVERSITY
"State University Virginia Tech Intellectual Properties, Inc.",UNIVERSITY
Max-Planck-Gesellschaft zur Foderund der Wissenschaften e.V.,UNIVERSITY
"University of Alabama, Birmingham Medical & Education Foundation",UNIVERSITY
Fizichesky Institut Imeni P.N. Lebedeva Akademii Nauk SSSU of USSR,UNIVERSITY
Instituto Nacional de Sistemas Automatizados Y'Techicas de Computacion,UNIVERSITY
OILCROPS RESEARCH INSTITUTE OF CHINESE ACADEMY OF AGRICULTURE SCIENCES,UNIVERSITY
Ivanovsky Nauchno-Issledovatelsky Experimentalno-Konstruktorsky Institut,UNIVERSITY
